day,section,8-9,9-10,10-11,11-12,12-1,1-2,2-3,3-4,4-5,5-6
monday,CSE-1,,VT(L),VT(L),X,X,X,DBMS(L),DBMS(L),COA,DSS
tuesday,CSE-1,X,X,X,X,X,X,X,X,X,X
wednesday,CSE-1,X,X,X,DSS,COA,STW,X,DBMS,OS,X
thursday,CSE-1,X,X,X,OOPJ,OS,COA,X,DSS,OS(L),OS(L)
friday,CSE-1,X,X,X,X,STW,DBMS,X,DSS,COA,OOPJ
saturday,CSE-1,X,X,X,X,OS,OOPJ,X,DBMS,OOPJ(L),OOPJ(L)
monday,CSE-2,X,X,STW,DBMS,COA,DSS,X,X,X,X
tuesday,CSE-2,X,VT(L),VT(L),X,X,X,OS(L),OS(L),OOPJ,X
wednesday,CSE-2,OOPJ,OS,DBMS,DSS,STW,COA,X,X,X,X
thursday,CSE-2,DBMS,OOPJ(L),OOPJ(L),COA,OS,DSS,X,X,X,X
friday,CSE-2,DSS,DBMS(L),DBMS(L),COA,OS,OOPJ,X,X,X,X
saturday,CSE-2,X,X,X,X,X,X,X,X,X,X
monday,CSE-3,X,X,X,OOPJ,STW,DSS,X,COA,OOPJ(L),OOPJ(L)
tuesday,CSE-3,X,X,X,OOPJ,OS,DBMS,X,DSS,STW,COA
wednesday,CSE-3,X,VT(L),VT(L),X,X,X,DBMS(L),DBMS(L),DSS,COA
thursday,CSE-3,X,X,X,X,X,X,X,X,X,X
friday,CSE-3,X,X,X,OS,DBMS,DSS,X,COA,OS(L),OS(L)
saturday,CSE-3,X,X,X,OS,DBMS,X,X,OOPJ,X,X
monday,CSE-4,OOPJ,DBMS,COA,DSS,OS(L),OS(L),X,X,X,X
tuesday,CSE-4,X,COA,STW,DSS,DBMS(L),DBMS(L),X,X,X,X
wednesday,CSE-4,COA,OS,OOPJ,DBMS,STW,DSS,X,X,X,X
thursday,CSE-4,X,VT(L),VT(L),X,X,X,COA,OS,DSS,DBMS
friday,CSE-4,X,X,X,X,X,X,X,X,X,X
saturday,CSE-4,OS,OOPJ(L),OOPJ(L),OOPJ,X,X,X,X,X,X
monday,CSE-5,X,X,X,DSS,STW,COA,X,OS,OOPJ(L),OOPJ(L)
tuesday,CSE-5,X,X,X,DBMS,COA,X,X,DSS,DBMS(L),DBMS(L)
wednesday,CSE-5,X,X,X,DSS,DBMS,OOPJ,X,COA,OS(L),OS(L)
thursday,CSE-5,X,X,X,OS,COA,X,X,DBMS,DSS,OOPJ
friday,CSE-5,X,VT(L),VT(L),X,X,X,OOPJ,OS,STW,X
saturday,CSE-5,X,X,X,X,X,X,X,X,X,X
monday,CSE-6,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-6,OS,OS(L),OS(L),DBMS,COA,DSS,X,X,X,X
wednesday,CSE-6,DSS,OOPJ(L),OOPJ(L),OOPJ,STW,COA,X,X,X,X
thursday,CSE-6,X,DBMS,OS,DSS,OOPJ,COA,X,X,X,X
friday,CSE-6,COA,DSS,STW,X,VT(L),VT(L),X,X,X,X
saturday,CSE-6,OOPJ,DBMS,X,X,X,X,DBMS(L),DBMS(L),OS,X
monday,CSE-7,X,VT(L),VT(L),X,X,X,OOPJ(L),OOPJ(L),DSS,X
tuesday,CSE-7,X,X,X,X,X,X,X,X,X,X
wednesday,CSE-7,X,X,X,DSS,OS,OOPJ,X,DBMS,COA,STW
thursday,CSE-7,X,X,X,DBMS,STW,OOPJ,X,DSS,COA,X
friday,CSE-7,X,X,X,OOPJ,OS,DSS,X,COA,DBMS(L),DBMS(L)
saturday,CSE-7,X,X,X,COA,OS,X,X,DBMS,OS(L),OS(L)
monday,CSE-8,OS,DBMS,DSS,DBMS,COA,X,X,X,X,X
tuesday,CSE-8,X,VT(L),VT(L),X,X,X,DBMS(L),DBMS(L),DSS,COA
wednesday,CSE-8,X,X,X,X,X,X,X,X,X,X
thursday,CSE-8,OOPJ,OOPJ(L),OOPJ(L),STW,COA,DSS,X,X,X,X
friday,CSE-8,DBMS,OOPJ,OS,STW,DSS,COA,X,X,X,X
saturday,CSE-8,OOPJ,OS(L),OS(L),OS,X,X,X,X,X,X
monday,CSE-9,X,X,X,DBMS,COA,X,X,OS,DSS,OOPJ
tuesday,CSE-9,X,X,X,COA,STW,DSS,X,OS,OOPJ(L),OOPJ(L)
wednesday,CSE-9,X,VT(L),VT(L),X,X,X,OS(L),OS(L),COA,DSS
thursday,CSE-9,X,X,X,X,X,X,X,X,X,X
friday,CSE-9,X,X,X,DSS,STW,OOPJ,X,DBMS,OS,COA
saturday,CSE-9,X,X,X,OOPJ,DBMS,X,X,X,DBMS(L),DBMS(L)
monday,CSE-10,DSS,OOPJ(L),OOPJ(L),OOPJ,COA,X,X,X,X,X
tuesday,CSE-10,DBMS,OS,OOPJ,COA,STW,DSS,X,X,X,X
wednesday,CSE-10,OOPJ,COA,OS,DSS,DBMS,STW,X,X,X,X
thursday,CSE-10,X,VT(L),VT(L),X,X,X,DBMS(L),DBMS(L),DSS,X
friday,CSE-10,X,X,X,X,X,X,X,X,X,X
saturday,CSE-10,COA,OS(L),OS(L),OS,DBMS,X,X,X,X,X
monday,CSE-11,X,X,X,DBMS,COA,DSS,X,OS,OOPJ(L),OOPJ(L)
tuesday,CSE-11,X,X,X,DBMS,STW,DSS,X,OOPJ,DBMS(L),DBMS(L)
wednesday,CSE-11,X,X,X,OOPJ,STW,DBMS,X,COA,OS(L),OS(L)
thursday,CSE-11,X,X,X,OS,DSS,X,X,COA,OOPJ,X
friday,CSE-11,X,VT(L),VT(L),X,X,X,DSS,OS,COA,X
saturday,CSE-11,X,X,X,X,X,X,X,X,X,X
monday,CSE-12,X,X,X,X,X,X,X,X,X,X
tuesday,CSE-12,DSS,OOPJ,STW,COA,DBMS(L),DBMS(L),X,X,X,X
wednesday,CSE-12,STW,OS,DSS,COA,DBMS,OOPJ,X,X,X,X
thursday,CSE-12,OOPJ,OOPJ(L),OOPJ(L),COA,DBMS,DSS,X,X,X,X
friday,CSE-12,OS,DSS,COA,X,VT(L),VT(L),X,X,X,X
saturday,CSE-12,X,OS,DBMS,X,X,X,OS(L),OS(L),X,X
monday,CSE-13,X,VT(L),VT(L),X,X,X,DBMS,DSS,OS,X
tuesday,CSE-13,X,X,X,X,X,X,X,X,X,X
wednesday,CSE-13,X,X,X,DSS,OS,OOPJ,X,COA,OS(L),OS(L)
thursday,CSE-13,X,X,X,COA,OOPJ,DSS,X,STW,OOPJ(L),OOPJ(L)
friday,CSE-13,X,X,X,COA,STW,DBMS,X,DSS,DBMS(L),DBMS(L)
saturday,CSE-13,X,X,X,OOPJ,X,X,X,COA,DBMS,OS
monday,CSE-14,DSS,OS,OOPJ,COA,OOPJ(L),OOPJ(L),X,X,X,X
tuesday,CSE-14,X,VT(L),VT(L),X,X,X,DBMS,STW,DSS,COA
wednesday,CSE-14,X,X,X,X,X,X,X,X,X,X
thursday,CSE-14,COA,OS(L),OS(L),OS,DBMS,DSS,X,X,X,X
friday,CSE-14,DSS,DBMS(L),DBMS(L),COA,STW,OOPJ,X,X,X,X
saturday,CSE-14,X,X,X,OOPJ,DBMS,OS,X,X,X,X
monday,CSE-15,X,X,X,OS,DSS,COA,X,DBMS,DBMS(L),DBMS(L)
tuesday,CSE-15,X,X,X,OS,STW,DSS,X,COA,OOPJ,DBMS
wednesday,CSE-15,X,VT(L),VT(L),X,X,X,DSS,STW,COA,OS
thursday,CSE-15,X,X,X,X,X,X,X,X,X,X
friday,CSE-15,X,X,X,COA,OOPJ,DBMS,X,DSS,OOPJ(L),OOPJ(L)
saturday,CSE-15,X,X,X,X,X,X,X,OOPJ,OS(L),OS(L)
monday,CSE-16,OS,OOPJ(L),OOPJ(L),DBMS,COA,DSS,X,X,X,X
tuesday,CSE-16,DSS,DBMS(L),DBMS(L),COA,OOPJ,STW,X,X,X,X
wednesday,CSE-16,STW,OOPJ,OS,DBMS,DSS,COA,X,X,X,X
thursday,CSE-16,X,VT(L),VT(L),X,X,X,DSS,COA,DBMS,X
friday,CSE-16,X,X,X,X,X,X,X,X,X,X
